ko_wpos	ko_pospat	ko	en	en_semantic_tags	en_semantic_tags_tokenwise	category	note
양성__03/NNG 평등/NNG	NNG NNG	양성__03 평등	equality	A6.1+		GENERAL & ABSTRACT TERMS	연결
소속__01/NNG 직원__03/NNG	NNG NNG	소속__01 직원__03	employees	I3.1/S2mf		MONEY & COMMERCE	연결
매우__01/MAG 높/VA	MAG VA	매우__01 높	very high		"very = ""A13.3 | A4.2+ A5.2+%""; high = ""E4.1+ F3 | N3.7+ N5+ | N3.7+ N5+ A11.1+ S7.1+ A5.1+ T3- X3.2 G2.2+ E4.1+ I1.3+ F3 O4.2- O4.6+ S9"""		연결(토큰 단위)
가장__01/MAG 유명하__01/VA	MAG VA	가장__01 유명하__01	most famous		"most = ""A13.2 N5+++ | N5+++""; famous = ""X2.2+"""		연결(토큰 단위)
관세__03/NNG 부과__05/NNG	NNG NNG	관세__03 부과__05	tariffs	I1.3		MONEY & COMMERCE	연결
진행__02/NNG 상황__02/NNG	NNG NNG	진행__02 상황__02	progress	A5.1+/A2.1 T2++ A2.1+ M1 | A5.1+/A2.1 T2++ A2.1+ M1%		GENERAL & ABSTRACT TERMS	연결
인터넷/NNG 전문__08/NNG	NNG NNG	인터넷 전문__08	Internet	Y2		SCIENCE & TECHNOLOGY	연결
단위__02/NNG 기간__07/NNG	NNG NNG	단위__02 기간__07	period	T1.3 B1 Q3 P1/T1.3 | T1.3 T1.1.1		TIME	연결
국내__02/NNG 최대/NNG	NNG NNG	국내__02 최대	largest	N3.2+++ N5+++ A11.1+++		NUMBERS & MEASUREMENT	연결
사진__07/NNG 속__01/NNG	NNG NNG	사진__07 속__01	picture	C1 Q4.3 X4.1 | X2.1 C1		ARTS & CRAFTS	연결
담당/NNG 부서__12/NNG	NNG NNG	담당 부서__12	department	H2/S5+c X2.2		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
마을__01/NNG 주민/NNG	NNG NNG	마을__01 주민	villagers	M7/S2mf		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
가장__01/MAG 많/VA	MAG VA	가장__01 많	largest number		"largest = ""N3.2+ N5+ A11.1+""; number = ""N1 | N5 | N5 N1 Q1.3 K2 Q4.2"""		연결(토큰 단위)
법__01/NNG 시행령/NNG	NNG NNG	법__01 시행령	Enforcement	A1.1.1 S7.1+		GENERAL & ABSTRACT TERMS	연결
증권__01/NNG 연구원__01/NNG	NNG NNG	증권__01 연구원__01	researcher	X2.4/S2mf		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
가장__01/MAG 아름답/VA	MAG VA	가장__01 아름답	most beautiful		"most = ""A13.2 N5+++ | N5+++""; beautiful = ""O4.2+"""		연결(토큰 단위)
추석__01/NNG 연휴__02/NNG	NNG NNG	추석__01 연휴__02	holiday	K1/T1.3		ENTERTAINMENT, SPORTS & GAMES	연결
무대__06/NNG 위__01/NNG	NNG NNG	무대__06 위__01	stage	K4 A1.1.1 A5.4- | T1.2 N5.1- H2/K4 K4 A4.1		ENTERTAINMENT, SPORTS & GAMES	연결
사고__12/NNG 당시__02/NNG	NNG NNG	사고__12 당시__02	accident	A1.1.2 A1.4 | Z3c		GENERAL & ABSTRACT TERMS	연결
더__01/MAG 어렵/VA	MAG VA	더__01 어렵	more difficult		"more = ""A13.3 N6++ | N5++ | Z3c""; difficult = ""A12-"""		연결(토큰 단위)
분위기/NNG 속__01/NNG	NNG NNG	분위기 속__01	atmosphere	W3 W1 E1 N3.5		THE WORLD & OUR ENVIRONMENT	연결
지사__06/NNG 이하__02/NNG	NNG NNG	지사__06 이하__02	Governor	S7.1+/S2mf G1.1/S2mf O2%		SOCIAL ACTIONS, STATES & PROCESSES	연결
아파트/NNG 단지__08/NNG	NNG NNG	아파트 단지__08	apartment	H1/H4		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
위반__03/NNG 혐의/NNG	NNG NNG	위반__03 혐의	violating	A1.1.2 E3- G2.2- G2.1-		GENERAL & ABSTRACT TERMS	연결
주__26/NNG 수요일/NNG	NNG NNG	주__26 수요일	Wednesday	T1.3		TIME	연결
비핵화/NNG 협상__01/NNG	NNG NNG	비핵화 협상__01	denuclearization				미연결(전체)
영상__01/NNG 속__01/NNG	NNG NNG	영상__01 속__01	video	Q4.3		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
위기__01/NNG 상황__02/NNG	NNG NNG	위기__01 상황__02	crisis	A12-		GENERAL & ABSTRACT TERMS	연결
사고__12/NNG 경위__05/NNG	NNG NNG	사고__12 경위__05	accident	A1.1.2 A1.4 | Z3c		GENERAL & ABSTRACT TERMS	연결
포상__03/NNG 조례__03/NNG	NNG NNG	포상__03 조례__03	Ordinance	G2.1		GOVT. & THE PUBLIC DOMAIN	연결
더__01/MAG 저렴하/VA	MAG VA	더__01 저렴하	cheaper	I1.3-- O4.2--		MONEY & COMMERCE	연결
센터__02/NNG 이하__02/NNG	NNG NNG	센터__02 이하__02	Center	M6 | M6 H1c M7c G1.2c K5.1mfn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
제재__01/NNG 해제__03/NNG	NNG NNG	제재__01 해제__03	sanctions	S7.4 G2.1		SOCIAL ACTIONS, STATES & PROCESSES	연결
설__01/NNG 연휴__02/NNG	NNG NNG	설__01 연휴__02	holiday	K1/T1.3		ENTERTAINMENT, SPORTS & GAMES	연결
중앙__02/NNG 지검__02/NNG	NNG NNG	중앙__02 지검__02	Central	Z3c		NAMES & GRAMMATICAL WORDS	연결
환경__02/NNG 조성__04/NNG	NNG NNG	환경__02 조성__04	environment	W5 W3 E1 Y2 O4.1		THE WORLD & OUR ENVIRONMENT	연결
회계__03/NNG 처리__02/NNG	NNG NNG	회계__03 처리__02	accounting	I2.1/I1 | Q2.2 I2.1/I1		MONEY & COMMERCE	연결
메뉴/NNG 판__08/NNG	NNG NNG	메뉴 판__08	menu	F1/Q1.2 Y2/Q1.2		FOOD & FARMING	연결
매우__01/MAG 어렵/VA	MAG VA	매우__01 어렵	very difficult		"very = ""A13.3 | A4.2+ A5.2+%""; difficult = ""A12-"""		연결(토큰 단위)
콘텐츠/NNG 진흥/NNG	NNG NNG	콘텐츠 진흥	Content	E4.2+ | Q2.1 A1.8+ N5 E4.1+%		EMOTIONAL ACTIONS, STATES & PROCESSES	연결
대통령/NNG 직속/NNG	NNG NNG	대통령 직속	Presidential	G1.1/S7.1+		GOVT. & THE PUBLIC DOMAIN	연결
내수__03/NNG 시장__04/NNG	NNG NNG	내수__03 시장__04	market	I2.2 | I2.2 I2.2/H1		MONEY & COMMERCE	연결
포스트/NNG 시즌/NNG	NNG NNG	포스트 시즌	postseason				미연결(전체)
중__04/NNG 장기적/NNG	NNG NNG	중__04 장기적	long-term	T1.3+		TIME	연결
경제__04/NNG 활성화/NNG	NNG NNG	경제__04 활성화	economy	I2.1 I1.3-		MONEY & COMMERCE	연결
위반__03/NNG 사항__02/NNG	NNG NNG	위반__03 사항__02	violations	G2.1- A1.9 E3-		GOVT. & THE PUBLIC DOMAIN	연결
차__06/NNG 안__01/NNG	NNG NNG	차__06 안__01	car	M3fn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
집__01/NNG 안__01/NNG	NNG NNG	집__01 안__01	house	H1 P1/S5+c G1.1c | H4		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
그룹__01/NNG 회장__07/NNG	NNG NNG	그룹__01 회장__07	Group	S5+ A4.1 B3% | S5+c A4.1c B3%		SOCIAL ACTIONS, STATES & PROCESSES	연결
분석__02/NNG 결과__02/NNG	NNG NNG	분석__02 결과__02	analysis	X2.4 Y1		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
선임__01/NNG 연구위원/NNG	NNG NNG	선임__01 연구위원	researcher	X2.4/S2mf		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
매우__01/MAG 낮/VA	MAG VA	매우__01 낮	very low		"very = ""A13.3 | A4.2+ A5.2+%""; low = ""A5.1- | L2/Q2.1 | N3.7- N5- A5.1- A11.1- E4.1- X3.2- G2.2- S7.1- | N3.7- X3.2-"""		연결(토큰 단위)
가짜/NNG 뉴스/NNG	NNG NNG	가짜 뉴스	news	X2.2+/T3- X2.2+/Q4.2 X2.2+/Q4.3		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
꼭__03/MAG 필요하/VA	MAG VA	꼭__03 필요하	essential	S6+ A4.2+		SOCIAL ACTIONS, STATES & PROCESSES	연결
진흥/NNG 재단__01/NNG	NNG NNG	진흥 재단__01	Foundation	T2+ H2 S5+c A5.2+ B4		TIME	연결
가장__01/MAG 어렵/VA	MAG VA	가장__01 어렵	most difficult		"most = ""A13.2 N5+++ | N5+++""; difficult = ""A12-"""		연결(토큰 단위)
너무__01/MAG 늦/VA	MAG VA	너무__01 늦	too late		"too = ""N5++ N5.2+ A13.3""; late = ""T4- L1- T1.1 | T4- T1.1"""		연결(토큰 단위)
더욱/MAG 중요하__02/VA	MAG VA	더욱 중요하__02	more important		"more = ""A13.3 N6++ | N5++ | Z3c""; important = ""A11.1+"""		연결(토큰 단위)
상승__01/NNG 폭__06/NNG	NNG NNG	상승__01 폭__06	increase	N5+/A2.1		NUMBERS & MEASUREMENT	연결
업무__02/NNG 담당/NNG	NNG NNG	업무__02 담당	affairs	A1.1.1 S1.1.1 S3.2		GENERAL & ABSTRACT TERMS	연결
형__01/NNG 일자리/NNG	NNG NNG	형__01 일자리	jobs	I3.1 A1.1.1		MONEY & COMMERCE	연결
해당__05/NNG 안건/NNG	NNG NNG	해당__05 안건	relevant	A1.2+ A1.5.2+		GENERAL & ABSTRACT TERMS	연결
이번__01/NNG 조사__30/NNG	NNG NNG	이번__01 조사__30	survey	X2.4		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
당__14/NNG 의원__05/NNG	NNG NNG	당__14 의원__05	Party	K1/S1.1.3+ | K1/S1.1.3+c G1.2c S1.1.3+/S2mf S5+c		ENTERTAINMENT, SPORTS & GAMES	연결
능력__02/NNG 개발/NNG	NNG NNG	능력__02 개발	Development	A2.1+ A5.1+/A2.1 H1		GENERAL & ABSTRACT TERMS	연결
관계__05/NNG 개선__01/NNG	NNG NNG	관계__05 개선__01	relations	A2.2 S1.1.1 S4 S3.2		GENERAL & ABSTRACT TERMS	연결
기금__02/NNG 운용/NNG	NNG NNG	기금__02 운용	fund	I1.1 | I1.1 N5+		MONEY & COMMERCE	연결
정말__01/MAG 죄송하/VA	MAG VA	정말__01 죄송하	sorry	Z4 | Z4 E4.1- O4.2-		NAMES & GRAMMATICAL WORDS	연결
입/NNG 안__01/NNG	NNG NNG	입 안__01	mouth	B1 Q2.2 M7/W3 W3/M4 O2 | Q2.1		THE BODY & THE INDIVIDUAL	연결
혼자__01/MAG 있__01/VA	MAG VA	혼자__01 있__01	alone	A14 S5- | S5- A14		GENERAL & ABSTRACT TERMS	연결
관계__05/NNG 법령__02/NNG	NNG NNG	관계__05 법령__02	statutes	G2.1		GOVT. & THE PUBLIC DOMAIN	연결
일정__01/NNG 수준/NNG	NNG NNG	일정__01 수준	level	A6.1- | N3.7 N5 S5+ A5.1 X9.1 A4.1 S7.1 | O4.4 A4.2+ | O4.4 Q2.2 M2		GENERAL & ABSTRACT TERMS	연결
사건__01/NNG 발생/NNG	NNG NNG	사건__01 발생	incident	A1.4 | A3+/A5.1-		GENERAL & ABSTRACT TERMS	연결
가장__01/MAG 가깝/VA	MAG VA	가장__01 가깝	nearest	N3.3--- | N3.3--- S3.1 A6.1+++ T1.3--- | Z5		NUMBERS & MEASUREMENT	연결
역사__04/NNG 속__01/NNG	NNG NNG	역사__04 속__01	history	T1.1.1 P1/T1.1.1 Q2.1 B2		TIME	연결
해결__02/NNG 방안__01/NNG	NNG NNG	해결__02 방안__01	solutions	X4.2 O1.2		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
이번__01/NNG 사건__01/NNG	NNG NNG	이번__01 사건__01	incident	A1.4 | A3+/A5.1-		GENERAL & ABSTRACT TERMS	연결
성장__01/NNG 동력__02/NNG	NNG NNG	성장__01 동력__02	growth	N3.2+/A2.1 A5.1+/A2.1 L3 B2-		NUMBERS & MEASUREMENT	연결
이번__01/NNG 결정__01/NNG	NNG NNG	이번__01 결정__01	decision	X6+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
조례__03/NNG 시행__01/NNG	NNG NNG	조례__03 시행__01	Ordinance	G2.1		GOVT. & THE PUBLIC DOMAIN	연결
조사__30/NNG 결과__02/NNG	NNG NNG	조사__30 결과__02	findings	A10+ X2.1 X6+		GENERAL & ABSTRACT TERMS	연결
정책__02/NNG 기조__01/NNG	NNG NNG	정책__02 기조__01	policy	X7+ Q1.2		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
유__88/NNG 튜브/NNG	NNG NNG	유__88 튜브	YouTube	Z3c/Q4.3		NAMES & GRAMMATICAL WORDS	연결
관리__04/NNG 대장__13/NNG	NNG NNG	관리__04 대장__13	management	S7.1+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
설치__02/NNG 조례__03/NNG	NNG NNG	설치__02 조례__03	Ordinance	G2.1		GOVT. & THE PUBLIC DOMAIN	연결
주__26/NNG 목요일/NNG	NNG NNG	주__26 목요일	Thursday	T1.3		TIME	연결
일주일/NNG 동안__01/NNG	NNG NNG	일주일 동안__01	week	T1.3		TIME	연결
얼마나/MAG 많/VA	MAG VA	얼마나 많	how many		"many = ""N5+"""		연결(토큰 단위)
반대__03/NNG 입장__04/NNG	NNG NNG	반대__03 입장__04	opposition	S8-/E2- S7.3+ A6.1-		SOCIAL ACTIONS, STATES & PROCESSES	연결
다음__01/NNG 각호/NNG	NNG NNG	다음__01 각호	follows	M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
협의회/NNG 이하__02/NNG	NNG NNG	협의회 이하__02	Council	G1.1c S7.1+/S5+c		GOVT. & THE PUBLIC DOMAIN	연결
무역__02/NNG 협상__01/NNG	NNG NNG	무역__02 협상__01	trade	I2.2 | I2.2 I2.1 I3.1 I2.2/N5		MONEY & COMMERCE	연결
폴더__01/NNG 블/NNG	NNG NNG	폴더__01 블	foldable				미연결(전체)
제일__04/MAG 중요하__02/VA	MAG VA	제일__04 중요하__02	most important		"most = ""A13.2 N5+++ | N5+++""; important = ""A11.1+"""		연결(토큰 단위)
할인__01/NNG 혜택/NNG	NNG NNG	할인__01 혜택	discounts	A1.8- I1.3- | I1.3-		GENERAL & ABSTRACT TERMS	연결
주__26/NNG 안__01/NNG	NNG NNG	주__26 안__01	week	T1.3		TIME	연결
기간__07/NNG 동안__01/NNG	NNG NNG	기간__07 동안__01	During	Z5		NAMES & GRAMMATICAL WORDS	연결
더__01/MAG 싸__05/VA	MAG VA	더__01 싸__05	cheaper	I1.3-- O4.2--		MONEY & COMMERCE	연결
점심/NNG 식사__03/NNG	NNG NNG	점심 식사__03	lunch	F1		FOOD & FARMING	연결
통일부/NNG 장관__02/NNG	NNG NNG	통일부 장관__02	Minister	G1.1/S2mf S9/S2mf		GOVT. & THE PUBLIC DOMAIN	연결
담당/NNG 팀장/NNG	NNG NNG	담당 팀장	team	S5+ | S5+c K5.1/S5+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
계약/NNG 해지__03/NNG	NNG NNG	계약 해지__03	contract	I2.1 G2.1 | Q2.2 N3.2-/A2.1 A9+ I2.1		MONEY & COMMERCE	연결
조회__02/NNG 수__26/NNG	NNG NNG	조회__02 수__26	views	X2.1 X3.4 | X2.1 X3.4 X2.4		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
심__88/NNG 재판__06/NNG	NNG NNG	심__88 재판__06	trial	G2.1 X2.4 E6- A12- K5.1 | X2.4		GOVT. & THE PUBLIC DOMAIN	연결
발생/NNG 위험/NNG	NNG NNG	발생 위험	risk	A15- A1.4		GENERAL & ABSTRACT TERMS	연결
대__04/NNG 기업__01/NNG	NNG NNG	대__04 기업__01	companies	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c		MONEY & COMMERCE	연결
위원회/NNG 소속__01/NNG	NNG NNG	위원회 소속__01	Committee	S7.1+/S5+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
기획재정부/NNG 장관__02/NNG	NNG NNG	기획재정부 장관__02	Minister	G1.1/S2mf S9/S2mf		GOVT. & THE PUBLIC DOMAIN	연결
건물__03/NNG 안__01/NNG	NNG NNG	건물__03 안__01	building	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
수업__04/NNG 시간__04/NNG	NNG NNG	수업__04 시간__04	class	A4.1 | P1c A4.1 S5+c O4.2+		GENERAL & ABSTRACT TERMS	연결
사실상/MAG 불가능하/VA	MAG VA	사실상 불가능하	virtually impossible		"virtually = ""A13.4""; impossible = ""A7- A12-"""		연결(토큰 단위)
허위__03/NNG 사실__04/NNG	NNG NNG	허위__03 사실__04	false	A5.2- | A5.2- A5.4- G2.2-		GENERAL & ABSTRACT TERMS	연결
비난/NNG 여론__02/NNG	NNG NNG	비난 여론__02	criticism	Q2.2/E2- X2.4		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
관리__04/NNG 조례__03/NNG	NNG NNG	관리__04 조례__03	Management	S7.1+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
더__01/MAG 가깝/VA	MAG VA	더__01 가깝	closer	N3.3-- A4.2++ S5++ S1.1.3++ A6.1++ E2++ W4		NUMBERS & MEASUREMENT	연결
경기__11/NNG 국제__02/NNG	NNG NNG	경기__11 국제__02	International	M7 | M7/S5+c K5.1 K5.1/S2mf		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
왜__02/MAG 이렇/VA	MAG VA	왜__02 이렇	Why	A2.2		GENERAL & ABSTRACT TERMS	연결
연결__01/NNG 고리__01/NNG	NNG NNG	연결__01 고리__01	link	A2.2 S5+ A1.1.1 | A2.2 S5+ M3 Q1.3 F1 K5.1/M7%		GENERAL & ABSTRACT TERMS	연결
평가__03/NNG 결과__02/NNG	NNG NNG	평가__03 결과__02	evaluation	A5.1 N2		GENERAL & ABSTRACT TERMS	연결
기금__02/NNG 이하__02/NNG	NNG NNG	기금__02 이하__02	Fund	I1.1 | I1.1 N5+		MONEY & COMMERCE	연결
이번__01/NNG 전시회/NNG	NNG NNG	이번__01 전시회	exhibition	A10+/S1.1.3+ A10+ I1%		GENERAL & ABSTRACT TERMS	연결
수출__03/NNG 기업__01/NNG	NNG NNG	수출__03 기업__01	exporters	I2.2/S2mf		MONEY & COMMERCE	연결
급__04/NNG 이상__05/NNG	NNG NNG	급__04 이상__05	higher	N3.7++ N5++ | N3.7++ N5++ A11.1++ S7.1++ A5.1++ T3-- X3.2 G2.2++ E4.1++ I1.3++ O4.2-- O4.6++ S9 | P1		NUMBERS & MEASUREMENT	연결
복지__10/NNG 증진/NNG	NNG NNG	복지__10 증진	welfare	S8+ I1 G1.1c		SOCIAL ACTIONS, STATES & PROCESSES	연결
예비__02/NNG 타당성/NNG	NNG NNG	예비__02 타당성	feasibility	A7		GENERAL & ABSTRACT TERMS	연결
