k_wpos	ko_pospat	ko	en	en_semantic_tags	category	note
최근/NNG	NNG	최근	recently	T3---	TIME	연결
따르__01/VV	VV	따르__01	pursuant			미연결
밝히/VV	VV	밝히	announced	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
기간__07/NNG	NNG	기간__07	period	T1.3 B1 Q3 P1/T1.3 | T1.3 T1.1.1	TIME	연결
같/VA	VA	같	same	A6.1+++	GENERAL & ABSTRACT TERMS	연결
가__01/VV	VV	가__01	go	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1% | X8+ T2+ S1.1.2+	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
서울특별시/NNP	NNP	서울특별시	Seoul			미연결
이유__04/NNG	NNG	이유__04	reason	A2.2 X2.1 | X2.1 Q2.2	GENERAL & ABSTRACT TERMS	연결
항__08/NNG	NNG	항__08	paragraph	Q3	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
받__01/VV	VV	받__01	received	A9+ S5+	GENERAL & ABSTRACT TERMS	연결
중국__01/NNP	NNP	중국__01	Chinese	Z2 Z2/Q3 Z2/S2mfnc | Z2/Q3 | Z2/Q3 Z2/S2mf	NAMES & GRAMMATICAL WORDS	연결
목적__03/NNG	NNG	목적__03	purpose	X7+ | X7+ A2.2 A1.5.1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
이미__01/MAG	MAG	이미__01	already	T1.1.1	TIME	연결
설명하/VV	VV	설명하	explained	Q2.2/A7+ A2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
없__01/VA	VA	없__01	no	S8- | Z4 | Z6	SOCIAL ACTIONS, STATES & PROCESSES	연결
높/VA	VA	높	high	E4.1+ F3 | N3.7+ N5+ | N3.7+ N5+ A11.1+ S7.1+ A5.1+ T3- X3.2 G2.2+ E4.1+ I1.3+ F3 O4.2- O4.6+ S9	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
지역__03/NNG	NNG	지역__03	area	M7 A4.1 N3.6	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
도지사/NNG	NNG	도지사	Governor	S7.1+/S2mf G1.1/S2mf O2%	SOCIAL ACTIONS, STATES & PROCESSES	연결
기존/NNG	NNG	기존	existing	A3+	GENERAL & ABSTRACT TERMS	연결
일부__02/NNG	NNG	일부__02	some	A13.5 | N5 Z5	GENERAL & ABSTRACT TERMS	연결
다만__01/MAG	MAG	다만__01	However	Z4	NAMES & GRAMMATICAL WORDS	연결
계획__01/NNG	NNG	계획__01	plans	X7+ | X7+ C1/H1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
영어__02/NNP	NNP	영어__02	English	Z1mf	NAMES & GRAMMATICAL WORDS	연결
앞/NNG	NNG	앞	front	M6 A11.1+ | M6 M7/W3 A4.1 A10- S1.2.3+ W4 | M6 S7.1+ Q4.3	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
가격__03/NNG	NNG	가격__03	price	I1.3	MONEY & COMMERCE	연결
내년/NNG	NNG	내년	next	N4 | Z3c	NUMBERS & MEASUREMENT	연결
서비스/NNG	NNG	서비스	services	S8+ S7.1- A1.1.1 S9 G3@ G2.1@ M3/M7@	SOCIAL ACTIONS, STATES & PROCESSES	연결
국내__02/NNG	NNG	국내__02	domestic	B4/S2mf | H4 S4 E3+/L2 M6	THE BODY & THE INDIVIDUAL	연결
함께/MAG	MAG	함께	together	S1.2.6+ | S5+ T1.1.2 M6	SOCIAL ACTIONS, STATES & PROCESSES	연결
최근/NNG	NNG	최근	recent	T3-	TIME	연결
만들/VV	VV	만들	made	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	GENERAL & ABSTRACT TERMS	연결
경제__04/NNG	NNG	경제__04	economy	I2.1 I1.3-	MONEY & COMMERCE	연결
다르__01/VA	VA	다르__01	different	A6.1-	GENERAL & ABSTRACT TERMS	연결
돈__01/NNG	NNG	돈__01	money	I1	MONEY & COMMERCE	연결
팬__01/NNG	NNG	팬__01	fans	A1.1.1 | S2/E2+mf O2	GENERAL & ABSTRACT TERMS	연결
받__01/VV	VV	받__01	receive	A9+ S5+	GENERAL & ABSTRACT TERMS	연결
지금__03/MAG	MAG	지금__03	now	T1.1.2 Z4 | Z4 | Z5	TIME	연결
일본__02/NNP	NNP	일본__02	Japanese	Z2 Z2/Q3 Z2/S2mfnc | Z2/Q3 | Z2/S2mfnc	NAMES & GRAMMATICAL WORDS	연결
잘__02/MAG	MAG	잘__02	well	A10+ E1+ | A5.1+ A13.3 A7+ B2+ Z4 | B2+ | W3/M4 W3 | Z4	GENERAL & ABSTRACT TERMS	연결
각종/NNG	NNG	각종	various	A6.3+	GENERAL & ABSTRACT TERMS	연결
여성__01/NNG	NNG	여성__01	women	S2.1f	SOCIAL ACTIONS, STATES & PROCESSES	연결
가능하/VA	VA	가능하	possible	A7+	GENERAL & ABSTRACT TERMS	연결
집__01/NNG	NNG	집__01	house	H1 P1/S5+c G1.1c | H4	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
최초/NNG	NNG	최초	first	N4 | N4 P1@	NUMBERS & MEASUREMENT	연결
경우__03/NNG	NNG	경우__03	cases	A4.1 O2 G2.1 B3 X4.1 Q3	GENERAL & ABSTRACT TERMS	연결
사회__07/NNG	NNG	사회__07	society	S5+c	SOCIAL ACTIONS, STATES & PROCESSES	연결
제도__01/NNG	NNG	제도__01	system	X4.2 O3 M3 M4 Q1.3 Y2 B1 N2 G1.1c	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
직접/MAG	MAG	직접	directly	M6 N3.8+ S1.1.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
너무__01/MAG	MAG	너무__01	too	N5++ N5.2+ A13.3	NUMBERS & MEASUREMENT	연결
조사__30/NNG	NNG	조사__30	investigation	X2.4 B3	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
알려지/VV	VV	알려지	known	X2.2+ | X2.2+ S3.2/B1%	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
부산__02/NNP	NNP	부산__02	Busan			미연결
자료__03/NNG	NNG	자료__03	data	X2.2/X2.4 Q1.1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
오후__02/NNG	NNG	오후__02	pm	G1.1/S2mf B3	GOVT. & THE PUBLIC DOMAIN	연결
참석하/VV	VV	참석하	attended	S1.1.3+ | S1.1.3+ X5.1+	SOCIAL ACTIONS, STATES & PROCESSES	연결
선수__05/NNG	NNG	선수__05	players	K6/S2mf K5.2/S2mf K2/S2mf S1.1.3+/S2mf K4/S2mf K3	ENTERTAINMENT, SPORTS & GAMES	연결
도움/NNG	NNG	도움	help	S8+ | Z4	SOCIAL ACTIONS, STATES & PROCESSES	연결
되__01/VV	VV	되__01	become	A2.1+ O4.2+	GENERAL & ABSTRACT TERMS	연결
추가__02/NNG	NNG	추가__02	additional	N5++	NUMBERS & MEASUREMENT	연결
전__08/NNG	NNG	전__08	ago	T1.1.1	TIME	연결
음악__01/NNG	NNG	음악__01	music	K2	ENTERTAINMENT, SPORTS & GAMES	연결
친구__02/NNG	NNG	친구__02	friend	S3.1/S2mf	SOCIAL ACTIONS, STATES & PROCESSES	연결
관심__01/NNG	NNG	관심__01	interest	X5.2+ | X5.2+ I1.1 S8+ S1.1.3+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
민주당/NNP	NNP	민주당	Democratic	G1.2	GOVT. & THE PUBLIC DOMAIN	연결
삶/NNG	NNG	삶	life	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 | Z3c	LIFE & LIVING THINGS	연결
공간__05/NNG	NNG	공간__05	space	N3.6 W1 T1.3 Q1.2 | N6	NUMBERS & MEASUREMENT	연결
예상되/VV	VV	예상되	expected	X2.6+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
사용하__03/VV	VV	사용하__03	used	A1.5.1 T3+	GENERAL & ABSTRACT TERMS	연결
모르/VV	VV	모르	know	X2.2+ | X2.2+ S3.2/B1%	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
문제__06/NNG	NNG	문제__06	issue	A9- | X4.1 Q4.2 S4 A9-	GENERAL & ABSTRACT TERMS	연결
고객__04/NNG	NNG	고객__04	customers	I2.2/S2mf	MONEY & COMMERCE	연결
피해__01/NNG	NNG	피해__01	damage	A1.1.2 | A1.1.2 I1.1+/G2.1	GENERAL & ABSTRACT TERMS	연결
많이/MAG	MAG	많이	lot	N5 S5+ A3+ A1.4 M7 O2	NUMBERS & MEASUREMENT	연결
의견__01/NNG	NNG	의견__01	opinions	X2.1 X2.1/A5 X6+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
문재__01/NNG	NNG	문재__01	Moon	W1 | X5.2-/E4.1-	THE WORLD & OUR ENVIRONMENT	연결
업체/NNG	NNG	업체	companies	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c	MONEY & COMMERCE	연결
역시__01/MAG	MAG	역시__01	also	N5++	NUMBERS & MEASUREMENT	연결
필요하/VA	VA	필요하	needed	S6+	SOCIAL ACTIONS, STATES & PROCESSES	연결
법__01/NNG	NNG	법__01	Act	A1.1.1 K4 A5.4- G2.1 P1% | A1.1.1 T1.1.2 A8 K4	GENERAL & ABSTRACT TERMS	연결
수준/NNG	NNG	수준	level	A6.1- | N3.7 N5 S5+ A5.1 X9.1 A4.1 S7.1 | O4.4 A4.2+ | O4.4 Q2.2 M2	GENERAL & ABSTRACT TERMS	연결
만나/VV	VV	만나	met	S3.1 M6 A1.1.1 A6.1+	SOCIAL ACTIONS, STATES & PROCESSES	연결
일자리/NNG	NNG	일자리	jobs	I3.1 A1.1.1	MONEY & COMMERCE	연결
오__01/VV	VV	오__01	come	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2 T1 A1.1.1 N5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
산업/NNG	NNG	산업	industry	I4c I2.1c	MONEY & COMMERCE	연결
비핵화/NNG	NNG	비핵화	denuclearization			미연결
공무원/NNG	NNG	공무원	officials	G1.1 S7.4+ | G1.1/S2mf S7.1+/S2mf	GOVT. & THE PUBLIC DOMAIN	연결
미국__03/NNP	NNP	미국__03	States	Z2	NAMES & GRAMMATICAL WORDS	연결
보내/VV	VV	보내	sent	M2 A2.2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
이후__02/NNG	NNG	이후__02	since	N4 | Z5	NUMBERS & MEASUREMENT	연결
평균/NNG	NNG	평균	average	A6.2+ A5.1 N2 | N2 A6.2+	GENERAL & ABSTRACT TERMS	연결
사용__04/NNG	NNG	사용__04	use	A1.5.1 | A1.5.1 S7.1+	GENERAL & ABSTRACT TERMS	연결
아직__01/MAG	MAG	아직__01	still	C1 F2/O2 | E3+/A2.1 E6+ | M8 E3+ O4.5 | T2++ Z4 E3+	ARTS & CRAFTS	연결
발전__01/NNG	NNG	발전__01	development	A2.1+ A5.1+/A2.1 H1	GENERAL & ABSTRACT TERMS	연결
역사__04/NNG	NNG	역사__04	history	T1.1.1 P1/T1.1.1 Q2.1 B2	TIME	연결
지금__03/NNG	NNG	지금__03	now	T1.1.2 Z4 | Z4 | Z5	TIME	연결
언론/NNG	NNG	언론	media	Q4c	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
먹__02/VV	VV	먹__02	eat	F1/B1 A1.5.1/N5+	FOOD & FARMING	연결
트럼프/NNG	NNG	트럼프	Trump	Z1mf	NAMES & GRAMMATICAL WORDS	연결
삼성전자/NNP	NNP	삼성전자	Samsung	Z3c	NAMES & GRAMMATICAL WORDS	연결
아직__01/MAG	MAG	아직__01	yet	T1.1.2 | Z5	TIME	연결
이날/NNG	NNG	이날	day	T1.3	TIME	연결
참여하/VV	VV	참여하	participated	S1.1.3+	SOCIAL ACTIONS, STATES & PROCESSES	연결
여전히/MAG	MAG	여전히	still	C1 F2/O2 | E3+/A2.1 E6+ | M8 E3+ O4.5 | T2++ Z4 E3+	ARTS & CRAFTS	연결
장관__02/NNG	NNG	장관__02	Minister	G1.1/S2mf S9/S2mf	GOVT. & THE PUBLIC DOMAIN	연결
건강__03/NNG	NNG	건강__03	health	B2 X9.2	THE BODY & THE INDIVIDUAL	연결
마지막/NNG	NNG	마지막	last	N4 | O2 | T2++ T1.3	NUMBERS & MEASUREMENT	연결
당시__02/NNG	NNG	당시__02	time	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@ | X7+/T1 N3.1/T1 | Z3c	TIME	연결
경기__11/NNG	NNG	경기__11	game	K5.1 K5.2 X7+ A1.1.1 L2 F1 | X5.2+	ENTERTAINMENT, SPORTS & GAMES	연결
이내__05/NNG	NNG	이내__05	within	M6 | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
대표/NNG	NNG	대표	CEO	S7.1+/S2mf	SOCIAL ACTIONS, STATES & PROCESSES	연결
생산/NNG	NNG	생산	production	A1.1.1 A10+ K4 K3 Q4.3	GENERAL & ABSTRACT TERMS	연결
관심__01/NNG	NNG	관심__01	interested	X5.2+ S1.1.3+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
발표하/VV	VV	발표하	announced	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
해당__05/NNG	NNG	해당__05	relevant	A1.2+ A1.5.2+	GENERAL & ABSTRACT TERMS	연결
아파트/NNG	NNG	아파트	apartment	H1/H4	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
이상__05/NNG	NNG	이상__05	more	A13.3 N6++ | N5++ | Z3c	GENERAL & ABSTRACT TERMS	연결
브랜드/NNG	NNG	브랜드	brand	A4.1 Q1.1 | Q1.1	GENERAL & ABSTRACT TERMS	연결
불법__01/NNG	NNG	불법__01	illegal	G2.1-	GOVT. & THE PUBLIC DOMAIN	연결
따르__01/VV	VV	따르__01	accordance	S7.1- A6.1+	SOCIAL ACTIONS, STATES & PROCESSES	연결
즐기__01/VV	VV	즐기__01	enjoy	E2+ A9+ E4.1+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
더욱/MAG	MAG	더욱	more	A13.3 N6++ | N5++ | Z3c	GENERAL & ABSTRACT TERMS	연결
신규/NNG	NNG	신규	new	T3-	TIME	연결
러시아/NNP	NNP	러시아	Russia	Z2	NAMES & GRAMMATICAL WORDS	연결
항상/MAG	MAG	항상	always	N6+++	NUMBERS & MEASUREMENT	연결
따르__01/VV	VV	따르__01	According	A1.2+ A6.1+ | A9- A6.1+ | Z5	GENERAL & ABSTRACT TERMS	연결
평화__02/NNG	NNG	평화__02	peace	E3+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
어떻/VA	VA	어떻	How	Z5 A13.3	NAMES & GRAMMATICAL WORDS	연결
매출/NNG	NNG	매출	sales	I2.2 I2.2/I1.3-	MONEY & COMMERCE	연결
보도하__02/VV	VV	보도하__02	reported	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
최종/NNG	NNG	최종	final	K5.1 | N4 T2-	ENTERTAINMENT, SPORTS & GAMES	연결
문화__01/NNG	NNG	문화__01	cultural	C1 S1.1.1 S5+	ARTS & CRAFTS	연결
쉽/VA	VA	쉽	easy	A12+	GENERAL & ABSTRACT TERMS	연결
민간/NNG	NNG	민간	private	A10- S5- G1.1- | G3/S2mf B1	GENERAL & ABSTRACT TERMS	연결
재판__06/NNG	NNG	재판__06	trial	G2.1 X2.4 E6- A12- K5.1 | X2.4	GOVT. & THE PUBLIC DOMAIN	연결
드라마/NNG	NNG	드라마	drama	K4 A1.1.1	ENTERTAINMENT, SPORTS & GAMES	연결
장비__07/NNG	NNG	장비__07	equipment	O2	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
무대__06/NNG	NNG	무대__06	stage	K4 A1.1.1 A5.4- | T1.2 N5.1- H2/K4 K4 A4.1	ENTERTAINMENT, SPORTS & GAMES	연결
방문하/VV	VV	방문하	visited	S1.1.1 M1	SOCIAL ACTIONS, STATES & PROCESSES	연결
찾/VV	VV	찾	find	A10+ | A10+ X2.1 X6+	GENERAL & ABSTRACT TERMS	연결
혐의/NNG	NNG	혐의	charges	I1.3 O3 G2.1 M1 G3%	MONEY & COMMERCE	연결
분석__02/NNG	NNG	분석__02	analysis	X2.4 Y1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
카드/NNG	NNG	카드	card	B5 | Q1.2 O1.1 I1.1/O2/Q1.1 K5.2	THE BODY & THE INDIVIDUAL	연결
방문하/VV	VV	방문하	visit	S1.1.1 M1	SOCIAL ACTIONS, STATES & PROCESSES	연결
일정__03/NNG	NNG	일정__03	schedule	X7+ Q1.2/T1/M3 Q1.2/T1/M4 Q1.2/T1/M5 P1 | X7+/T1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
이용하__01/VV	VV	이용하__01	using	A1.5.1 S7.1+	GENERAL & ABSTRACT TERMS	연결
김정/NNP	NNP	김정	Kim	Z1mf Z3c	NAMES & GRAMMATICAL WORDS	연결
경우__03/NNG	NNG	경우__03	Where	M6	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
판매/NNG	NNG	판매	sales	I2.2 I2.2/I1.3-	MONEY & COMMERCE	연결
아름답/VA	VA	아름답	beautiful	O4.2+	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
살__01/VV	VV	살__01	live	H4 L1+ A3 | L1+ | L1+ A3+ Q4.3 K2/K3 K1 O3 G3	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
한반도/NNP	NNP	한반도	Korean	Z2 Z2/Q3 | Z2/S2mf Z2/Q3	NAMES & GRAMMATICAL WORDS	연결
전망__03/NNG	NNG	전망__03	expected	X2.6+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
운영하/VV	VV	운영하	operate	A1.1.1 B3	GENERAL & ABSTRACT TERMS	연결
시작하__01/VV	VV	시작하__01	started	T2+ E5- E3-	TIME	연결
항__08/NNG	NNG	항__08	Article	G2.1/P1 | Q4.2 O2 Q3 G2.1/P1@	GOVT. & THE PUBLIC DOMAIN	연결
특별하/VA	VA	특별하	special	A4.2+ A6.2- | A4.2+ G2.1/S2mf	GENERAL & ABSTRACT TERMS	연결
교수__06/NNG	NNG	교수__06	Professor	P1/S2mf	EDUCATION	연결
북__08/NNP	NNP	북__08	North	M6	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
시설__03/NNG	NNG	시설__03	facility	H1 O2 S8+ X9.1+	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
얼마나/MAG	MAG	얼마나	how	Z5 A13.3	NAMES & GRAMMATICAL WORDS	연결
세상__01/NNG	NNG	세상__01	world	W1 S5+c A4.1 N5+	THE WORLD & OUR ENVIRONMENT	연결
에너지/NNG	NNG	에너지	energy	X5.2+ Y1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
노력__01/NNG	NNG	노력__01	efforts	X8+ O2	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
무료__01/NNG	NNG	무료__01	free	S6- A1.7- | S6- A1.7- A1.5.1- I1.3- | S6- A1.7- I1.3-	SOCIAL ACTIONS, STATES & PROCESSES	연결
관계__05/NNG	NNG	관계__05	relationship	S3.1 S3.2 A2.2 S4	SOCIAL ACTIONS, STATES & PROCESSES	연결
최고__02/NNG	NNG	최고__02	best	A5.1+++ A13.2 G2.2+++ O4.2+++ | A5.1+++ G2.2+++ O4.2+++	GENERAL & ABSTRACT TERMS	연결
차량__01/NNG	NNG	차량__01	vehicle	M3fn X4.2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
소식__04/NNG	NNG	소식__04	news	X2.2+/T3- X2.2+/Q4.2 X2.2+/Q4.3	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
적극/NNG	NNG	적극	actively	X5.2+ A1.1.1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
대책__03/NNG	NNG	대책__03	measures	N3.1 | N3.1 F2 K2	NUMBERS & MEASUREMENT	연결
향후/NNG	NNG	향후	future	T1.1.3	TIME	연결
위기__01/NNG	NNG	위기__01	crisis	A12-	GENERAL & ABSTRACT TERMS	연결
학교/NNG	NNG	학교	schools	P1 | P1/H1c S5+c L2%c	EDUCATION	연결
외국인/NNG	NNG	외국인	foreign	M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
청년/NNG	NNG	청년	young	T3-	TIME	연결
무역__02/NNG	NNG	무역__02	trade	I2.2 | I2.2 I2.1 I3.1 I2.2/N5	MONEY & COMMERCE	연결
협상__01/NNG	NNG	협상__01	negotiations	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
시작하__01/VV	VV	시작하__01	began	T2+	TIME	연결
행복하/VA	VA	행복하	happy	E4.1+ E4.2+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
여름__01/NNG	NNG	여름__01	summer	T1.3	TIME	연결
사/VV	VV	사	buy	I2.2	MONEY & COMMERCE	연결
정말__01/MAG	MAG	정말__01	really	A13.3 A5.2+	GENERAL & ABSTRACT TERMS	연결
그룹__01/NNG	NNG	그룹__01	Group	S5+ A4.1 B3% | S5+c A4.1c B3%	SOCIAL ACTIONS, STATES & PROCESSES	연결
낮/VA	VA	낮	low	A5.1- | L2/Q2.1 | N3.7- N5- A5.1- A11.1- E4.1- X3.2- G2.2- S7.1- | N3.7- X3.2-	GENERAL & ABSTRACT TERMS	연결
이유__04/NNG	NNG	이유__04	why	A2.2	GENERAL & ABSTRACT TERMS	연결
목표/NNG	NNG	목표	goal	K5.1 X7+	ENTERTAINMENT, SPORTS & GAMES	연결
받__01/VV	VV	받__01	receiving	A9+ S5+ | A9+ S5+ G2.1-	GENERAL & ABSTRACT TERMS	연결
경쟁/NNG	NNG	경쟁	competition	K1 S7.3+	ENTERTAINMENT, SPORTS & GAMES	연결
방향__01/NNG	NNG	방향__01	direction	M6 Q2.2 Q2.2 S7.1+ X4.2 K4	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
개최하/VV	VV	개최하	held	M2 A1.1.1 A9+ X2.1 S7.1+/A1.7+	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
국가__01/NNG	NNG	국가__01	countries	M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
국제__02/NNG	NNG	국제__02	International	M7 | M7/S5+c K5.1 K5.1/S2mf	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
현장__03/NNG	NNG	현장__03	site	M6 | M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
부동산/NNG	NNG	부동산	estate	M7/F4 H4 I1.1 M3	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
강조하/VV	VV	강조하	stressed	E6- Q3	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
합의__01/NNG	NNG	합의__01	agreement	A6.1+ Q2.2	GENERAL & ABSTRACT TERMS	연결
업무__02/NNG	NNG	업무__02	work	I3.1 A1.1.1 Q4 K2 C1 | I3.1 A1.1.1 X9.2+ A2.1+ A2.2	MONEY & COMMERCE	연결
하__01/VV	VV	하__01	shall	T1.1.3	TIME	연결
힘들/VA	VA	힘들	hard	O4.1 X8+ X5.2+ N5+ A12- | O4.5 A12- S1.2.5+ O4.1	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
유럽__02/NNP	NNP	유럽__02	Europe	Z2	NAMES & GRAMMATICAL WORDS	연결
차__06/NNG	NNG	차__06	car	M3fn	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
방__07/NNG	NNG	방__07	room	H2 N3.6 | H4	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
기준__03/NNG	NNG	기준__03	standards	A5.1 G2.2 Q1.1 O2@ | Z3c	GENERAL & ABSTRACT TERMS	연결
여성__01/NNG	NNG	여성__01	female	S2.1 | S2.1f	SOCIAL ACTIONS, STATES & PROCESSES	연결
배__09/NNG	NNG	배__09	times	Z3	NAMES & GRAMMATICAL WORDS	연결
마을__01/NNG	NNG	마을__01	village	M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
핵심/NNG	NNG	핵심	key	A1.1.1 | A11.1+ | O2 X9.2+ Q1.2	GENERAL & ABSTRACT TERMS	연결
전략__03/NNG	NNG	전략__03	strategy	X7+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
규제/NNG	NNG	규제	regulations	G2.1 A1.7+/G1.1	GOVT. & THE PUBLIC DOMAIN	연결
